iid,met_labels,Label
1,M1,Cer(d18:1/17:0)
2,M2,Cer(d18:1/22:6)
3,M3,LysoPC(14:0)
4,M4,LysoPC(16:0e)
5,M5,LysoPC(16:1)
6,M6,LysoPC(18:0)
7,M7,LysoPC(18:1)
8,M8,LysoPC(18:2)
9,M9,LysoPC(18:3)
10,M10,LysoPC(20:3)
11,M11,LysoPC(20:4)
12,M12,LysoPC(20:4)
13,M13,LysoPE(18:1)
14,M14,LysoPE(18:2)
15,M15,PC(30:0)
16,M16,PC(32:0)
17,M17,PC(32:0e)
18,M18,PC(32:1)
19,M19,PC(32:2)
20,M20,PC(32:5)
21,M21,PC(33:1)|PE(36:1)
22,M22,PC(33:2)|PE(36:2)
23,M23,PC(34:1)
24,M24,PC(34:1e)|PE(37:1e)
25,M25,PC(34:2)
26,M26,PC(34:2e)
27,M27,PC(34:3e)|PE(37:3e)
28,M28,PC(34:4)
29,M29,PC(34:4)
30,M30,PC(35:2)
31,M31,PC(36:1)
32,M32,PC(36:2)
33,M33,PC(36:3)
34,M34,PC(36:3e)
35,M35,PC(36:4)
36,M36,PC(36:4)
37,M37,PC(36:5)
38,M38,PC(36:5)
39,M39,PC(36:5e)|PE(39:5e)
40,M40,PC(37:4)|PE(40:4)
41,M41,PC(38:2)
42,M42,PC(38:2e)
43,M43,PC(38:3)
44,M44,PC(38:4)
45,M45,PC(38:5)
46,M46,PC(38:5e)
47,M47,PC(38:5e)
48,M48,PC(38:6)
49,M49,PC(38:6)
50,M50,PC(38:7)
51,M51,PC(38:7)
52,M52,PC(38:7)
53,M53,PC(40:4e)
54,M54,PC(40:5)
55,M55,PC(40:5e)
56,M56,PC(40:6)
57,M57,PC(40:6)
58,M58,PC(40:7)
59,M59,PC(40:7)
60,M60,PE(36:0)
61,M61,PE(38:1)
62,M62,PE(38:2)
63,M63,PE(38:3)
64,M64,PE(38:4)
65,M65,PE(38:4)
66,M66,PE(38:4)|PC(35:4)
67,M67,PE(38:5e)
68,M68,PE(40:6)
69,M69,SM(d18:1/14:0)
70,M70,SM(d18:1/16:0)
71,M71,SM(d18:1/16:1)
72,M72,SM(d18:1/18:0)
73,M73,SM(d18:1/18:1)
74,M74,SM(d18:1/18:3)
75,M75,SM(d18:1/20:0)
76,M76,SM(d18:1/20:1)
77,M77,SM(d18:1/21:0)
78,M78,SM(d18:1/22:0)
79,M79,SM(d18:1/22:1)
80,M80,SM(d18:1/22:3)
81,M81,SM(d18:1/23:0)
82,M82,SM(d18:1/23:1)
83,M83,SM(d18:1/23:3)
84,M84,SM(d18:1/24:0)
85,M85,SM(d18:1/24:1)
86,M86,SM(d18:1/25:2)
87,M87,TG(14:0/16:0/16:0)|TG(16:0/18:0/12:0)
88,M88,TG(14:0/16:0/18:0)
89,M89,TG(14:0/16:0/18:1)
90,M90,TG(14:0/18:1/18:1)|TG(16:0/16:1/18:1)
91,M91,TG(16:0/16:0/18:0)
92,M92,TG(16:0/18:0/18:0)
93,M93,TG(16:0/18:0/18:1)
94,M94,TG(16:0/18:1/16:0)
95,M95,TG(16:0/18:1/16:0)
96,M96,TG(16:0/18:1/18:1)
97,M97,TG(16:0/18:1/20:1)|TG(18:0/18:1/18:1)
98,M98,TG(16:0/18:2/18:1)
99,M99,TG(17:0/18:1/18:1)
100,M100,TG(17:1/18:1/18:2)
101,M101,TG(18:1/16:1/18:2)|TG(18:2/18:2/16:0)
102,M102,TG(18:1/18:1/18:1)
103,M103,TG(18:1/18:1/20:1)
104,M104,TG(18:1/18:2/18:1)
105,M105,TG(42:0)
106,M106,TG(42:1)
107,M107,TG(44:0)
108,M108,TG(44:1)
109,M109,TG(44:2)
110,M110,TG(45:0)
111,M111,TG(46:1)
112,M112,TG(46:2)
113,M113,TG(47:0)
114,M114,TG(47:1)
115,M115,TG(48:2)
116,M116,TG(48:3)
117,M117,TG(49:0)
118,M118,TG(49:1)
119,M119,TG(49:2)
120,M120,TG(49:3)
121,M121,TG(50:3)
122,M122,TG(50:4)
123,M123,TG(50:5)
124,M124,TG(51:2)
125,M125,TG(51:3)
126,M126,TG(51:4)
127,M127,TG(52:5)
128,M128,TG(52:6)
129,M129,TG(53:3)
130,M130,TG(53:8)
131,M131,TG(54:1)
132,M132,TG(54:5)
133,M133,TG(54:6)
134,M134,TG(54:7)
135,M135,TG(56:5)
136,M136,TG(56:6)
137,M137,TG(56:7)
138,M138,TG(58:6)
